Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Horsepower,Battery Power,Suspension,Cylinders,Torque
Toyota Land Cruiser,2016,75.00,100.00,29000,Petrol,Dealer,Automatic,0,381,4.6 kWh,MacPherson,8,650 Nm
Honda CR-V,2017,28.00,40.00,26000,Diesel,Dealer,Automatic,0,190,2.0 kWh,Multi-link,4,275 Nm
Ford Explorer,2014,28.00,40.00,47000,Petrol,Individual,Manual,1,300,2.5 kWh,Torsion Beam,6,350 Nm
Hyundai Tucson,2015,22.00,35.00,35000,Diesel,Dealer,Automatic,0,181,2.0 kWh,Multi-link,4,400 Nm
BMW X7,2016,90.00,120.00,30000,Petrol,Dealer,Automatic,0,523,4.4 kWh,MacPherson,8,750 Nm
Audi Q8,2017,100.00,135.00,22000,Diesel,Dealer,Automatic,0,500,4.0 kWh,Multi-link,8,700 Nm
Mercedes-Benz GLS,2018,110.00,145.00,20000,Petrol,Dealer,Automatic,0,500,4.0 kWh,Multi-link,8,850 Nm
Volkswagen Atlas,2015,45.00,60.00,40000,Diesel,Individual,Automatic,0,276,2.5 kWh,MacPherson,6,500 Nm
Chevrolet Tahoe,2016,58.00,75.00,33000,Petrol,Dealer,Automatic,0,355,5.3 kWh,Torsion Beam,8,500 Nm
Skoda Yeti,2017,25.00,37.00,22000,Diesel,Dealer,Automatic,0,148,1.8 kWh,MacPherson,4,250 Nm
Mazda CX-3,2018,28.00,40.00,18000,Petrol,Dealer,Automatic,0,146,2.0 kWh,Multi-link,4,280 Nm
Nissan Rogue,2015,20.00,32.00,37000,Diesel,Dealer,Automatic,0,181,1.6 kWh,Multi-link,4,300 Nm
Subaru Forester,2016,23.00,35.00,31000,Petrol,Dealer,Automatic,0,182,2.0 kWh,MacPherson,4,240 Nm
Kia Sportage,2017,22.00,33.00,28000,Diesel,Dealer,Automatic,0,237,2.0 kWh,Multi-link,4,400 Nm
Tesla Cybertruck,2019,100.00,130.00,12000,Electric,Dealer,Automatic,0,805,200 kWh,Independent,0,1000 Nm
Jaguar I-Pace,2015,75.00,90.00,35000,Electric,Dealer,Automatic,0,394,90 kWh,Double Wishbone,0,696 Nm
Lexus GX,2017,50.00,65.00,25000,Petrol,Individual,Automatic,0,301,4.6 kWh,Multi-link,8,438 Nm
Infiniti QX80,2016,65.00,85.00,30000,Diesel,Dealer,Automatic,0,400,5.6 kWh,Double Wishbone,8,560 Nm
Volvo XC90,2018,75.00,100.00,20000,Petrol,Dealer,Automatic,0,400,2.0 kWh,MacPherson,4,640 Nm
Alfa Romeo Tonale,2015,32.00,45.00,30000,Diesel,Individual,Automatic,0,130,1.8 kWh,Double Wishbone,4,320 Nm
Acura CDX,2016,24.00,32.00,35000,Petrol,Dealer,Automatic,0,136,1.5 kWh,Multi-link,4,230 Nm
Genesis GV70,2017,55.00,75.00,22000,Diesel,Dealer,Automatic,0,375,3.5 kWh,Multi-link,6,530 Nm
Cadillac XT4,2018,40.00,58.00,18000,Petrol,Dealer,Automatic,0,237,2.0 kWh,MacPherson,4,350 Nm
Buick Encore,2015,18.00,25.00,42000,Diesel,Individual,Automatic,0,138,1.4 kWh,Multi-link,4,205 Nm
Toyota Venza,2016,32.00,42.00,29000,Petrol,Dealer,Automatic,0,268,3.5 kWh,MacPherson,6,333 Nm
Honda HR-V,2017,18.00,26.00,26000,Diesel,Dealer,Automatic,0,141,1.8 kWh,Multi-link,4,172 Nm
Ford Escape,2014,20.00,28.00,47000,Petrol,Individual,Manual,1,168,1.6 kWh,Torsion Beam,4,250 Nm
Hyundai Kona,2015,24.00,30.00,35000,Diesel,Dealer,Automatic,0,175,2.0 kWh,Multi-link,4,400 Nm
BMW X1,2016,32.00,45.00,30000,Petrol,Dealer,Automatic,0,228,2.0 kWh,MacPherson,4,350 Nm
Audi Q3,2017,30.00,40.00,22000,Diesel,Dealer,Automatic,0,150,2.0 kWh,Multi-link,4,340 Nm
Mercedes-Benz GLA,2018,34.00,50.00,20000,Petrol,Dealer,Automatic,0,221,2.0 kWh,Multi-link,4,350 Nm
Volkswagen T-Roc,2015,20.00,30.00,40000,Diesel,Individual,Automatic,0,147,2.0 kWh,MacPherson,4,250 Nm
Chevrolet Trax,2016,16.50,22.00,33000,Petrol,Dealer,Automatic,0,138,1.8 kWh,Torsion Beam,4,200 Nm
Skoda Karoq,2017,22.00,28.00,22000,Diesel,Dealer,Automatic,0,148,2.0 kWh,MacPherson,4,250 Nm
Mazda CX-30,2018,28.00,40.00,18000,Petrol,Dealer,Automatic,0,186,2.5 kWh,Multi-link,4,280 Nm
Nissan Kicks,2015,14.00,20.00,37000,Diesel,Dealer,Automatic,0,122,1.6 kWh,Multi-link,4,156 Nm
Subaru XV,2016,22.00,30.00,31000,Petrol,Dealer,Automatic,0,152,2.0 kWh,MacPherson,4,196 Nm
Kia Seltos,2017,20.00,26.00,28000,Diesel,Dealer,Automatic,0,140,1.6 kWh,Multi-link,4,242 Nm
